model_name_norm,entry_year,source
Eurocopter EC120 Colibri,1995,wikidata:P606
Avro RJ100,1988,wikidata:P729
Cessna 206 Stationair,1998,wikidata:P729
Antonov An-12,1957,wikidata:P606
Aermacchi MB-339,1976,wikidata:P606
Robinson R44,1990,wikidata:P606
Boeing RC-135,1965,wikidata:P606
Cessna Citation Bravo,1977,wikidata:P606
Alenia Aermacchi M-346,2004,wikidata:P606
Learjet 40,2002,wikidata:P606
Eurocopter EC155,1997,wikidata:P606
Grob G115,1988,wikidata:P729
Boeing 727-200,1967,wikidata:P606
Antonov An-148,2004,wikidata:P606
Cessna 150,1957,wikidata:P606
Diamond DA62,2012,wikipedia:lead
British Aerospace Jetstream 41,1991,wikidata:P606
Avro RJ85,1982,wikidata:P606
Lockheed L-188 Electra,1957,wikidata:P606
Cessna 207,1968,wikidata:P606
Fokker 70,1993,wikidata:P606
Gulfstream III,1979,wikidata:P606
Raytheon Sentinel,2004,wikidata:P606
Dassault Falcon 8X,2015,wikidata:P606
PZL TS-11 Iskra,1960,wikidata:P606
Yakovlev Yak-42,1975,wikidata:P606
Cessna Citation III,1979,wikidata:P606
Boeing P-8 Poseidon,2009,wikidata:P606
Pilatus PC-9,1984,wikidata:P606
Yakovlev Yak-40,1966,wikidata:P606
Boeing 707,1957,wikidata:P606
Douglas DC-3,1935,wikidata:P606
Vickers VC10,1962,wikidata:P606
Antonov An-26,1969,wikidata:P606
Bombardier CL-415,1993,wikidata:P606
Beriev Be-200,1998,wikidata:P606
Eurocopter AS355 Écureuil 2,1979,wikidata:P606
BAe 146-200,1982,wikidata:P606
de Havilland Canada DHC-2 Beaver,1947,wikidata:P606
BAe 146-300,1988,wikidata:P729
Embraer C-390 Millennium,2015,wikidata:P606
Ilyushin Il-18,1957,wikidata:P606
Zenair CH 701,2008,wikipedia:lead
Piper PA-38 Tomahawk,1977,wikidata:P729
Douglas DC-4,1942,wikidata:P606
Beechcraft Bonanza,1945,wikidata:P606
Beechcraft Queen Air,1958,wikidata:P606
Dassault Falcon 10,1970,wikidata:P606
Beechcraft Duchess,1974,wikidata:P606
Aero L-39 Albatros,1968,wikidata:P606
Lockheed Martin F-35 Lightning II,2006,wikidata:P606
Boeing F/A-18 Super Hornet,1995,wikidata:P606
Embraer EMB-120 Brasilia,1983,wikidata:P606
Boeing C-135 Stratolifter,1956,wikidata:P606
Robinson R66,2007,wikidata:P606
Ikarus C42,1996,wikidata:P606
Robinson R22,1975,wikidata:P606
Curtiss C-46 Commando,1940,wikidata:P606
Dassault-Dornier Alpha Jet,1973,wikidata:P606
Boeing 747 LCF Dreamlifter,2006,wikidata:P606
Antonov An-24,1959,wikidata:P606
Beechcraft T-34 Mentor,1948,wikidata:P606
Lockheed C-141 Starlifter,1963,wikidata:P606
Piper PA-46 Malibu,1979,wikidata:P606
Mil Mi-26,1977,wikidata:P606
Dassault Falcon 6X,2013,wikipedia:lead
Cessna 177 Cardinal,1966,wikidata:P606
