aircraft_type,model_name,manufacturer,entry_year,source
TOR,Panavia Tornado,,1974,wikidata:P606
BCS1,Airbus A220-100 (Bombardier CS100),,,
B412,Bell 412,,1979,wikidata:P606
B52,Boeing B-52 Stratofortress,,1952,wikidata:P606
MD11,McDonnell Douglas MD-11,,1990,wikidata:P606
E314,Embraer ERJ-145,,1995,wikidata:P606
F16,General Dynamics F-16 Fighting Falcon,,1974,wikidata:P606
E120,Embraer EMB 120 Brasilia,,1983,wikidata:P606
PA31,Piper PA-31 Navajo,,1964,wikidata:P606
F2TH,Dassault Falcon 2000,,,
C560,Cessna Citation V,,1987,wikidata:P606
FA20,Dassault Falcon 20,,2001,wikidata:P606
GL5T,Gulfstream G500,,1995,wikidata:P606
E550,Embraer Legacy 500,,2013,wikidata:P606
BE9L,Beechcraft King Air 90,,1963,wikidata:P606
S76,Sikorsky S-76,,1977,wikidata:P606
DC10,McDonnell Douglas DC-10,,1970,wikidata:P606
AT45,ATR 42-500,,,
C27J,Alenia C-27J Spartan,,1999,wikidata:P606
MD83,McDonnell Douglas MD-83,,1984,wikidata:P606
C525,Cessna Citation CJ4,,,
E45X,Embraer Legacy 450,,2008,wikipedia:lead
A343,Airbus A340-300,,1991,wikidata:P606
BN2P,Britten-Norman BN-2 Islander,,1965,wikidata:P606
P3,Lockheed P-3 Orion,,1959,wikidata:P606
SR22,Cirrus SR22,,2000,wikidata:P606
B212,Bell 212,,1965,wikidata:P606
A748,Antonov An-74,,1983,wikidata:P606
C510,Cessna Citation Mustang,,2005,wikidata:P606
B429,Bell 429,,2007,wikidata:P606
P180,Piaggio P.180 Avanti,,,
GLID,Glider (generic),,,
AT43,ATR 42-300,,,
FA7X,Dassault Falcon 7X,,2005,wikidata:P606
BE58,Beechcraft Baron 58,,,
EC25,Eurocopter EC225 Super Puma,,2000,wikidata:P606
C5M,Lockheed C-5M Super Galaxy,,2002,wikidata:P606
GA8C,GippsAero GA8 Airvan,,,
SH36,Shorts SD.360,,,
A10,Fairchild Republic A-10 Thunderbolt II,,1972,wikidata:P606
G12T,Gulfstream G120,,,
DH8B,De Havilland Canada Dash 8-200,,,
E50P,Embraer Phenom 100,,2007,wikidata:P606
B753,Boeing 757-300,,1998,wikidata:P606
E110,Embraer EMB 110 Bandeirante,,1968,wikidata:P606
P28R,Piper PA-28R Arrow,,,
T206,Cessna T206 Stationair,,,
A19N,Airbus A319neo,,2017,wikidata:P606
TUCA,Emb-312 Tucano,,1980,wikidata:P606
AT72,ATR 72-500,,,
B505,Bell 505 Jet Ranger X,,2014,wikidata:P606
SIRA,Unknown / SIRA,,,
AT8T,ATR 42-600,,,
EC75,Eurocopter EC175,,2009,wikidata:P606
E3TF,Boeing E-3 Sentry,,1972,wikidata:P606
D328,Dornier 328,,1991,wikidata:P606
GALX,Gulfstream G200,,1997,wikidata:P606
GL7T,Gulfstream G700,,2020,wikidata:P606
MD82,McDonnell Douglas MD-82,,1981,wikidata:P606
L410,Let L-410 Turbolet,,1969,wikidata:P606
P212,Partenavia P.212,,,
PC7,Pilatus PC-7,,1966,wikidata:P606
B773,Boeing 777-300,,1990,wikipedia:lead
C25M,Cessna Citation CJ3,,,
F50,Fokker 50,,1985,wikidata:P606
JS32,British Aerospace Jetstream 32,,,
A189,AgustaWestland AW189,,2011,wikidata:P606
MI8,Mil Mi-8,,1961,wikidata:P606
AS32,Eurocopter AS332 Super Puma,,1978,wikidata:P606
PA18,Piper PA-18 Super Cub,,1949,wikidata:P606
PA34,Piper PA-34 Seneca,,1967,wikidata:P606
EC20,Eurocopter EC120 Colibri,,1995,wikidata:P606
AC90,Aero Commander 900,,,
RJ1H,Avro RJ100,,1988,wikidata:P729
C206,Cessna 206 Stationair,,1998,wikidata:P729
AN12,Antonov An-12,,1957,wikidata:P606
M339,Aermacchi MB-339,,1976,wikidata:P606
AC50,Aero Commander 500,,,
R44,Robinson R44,,1990,wikidata:P606
E290,Embraer E190-E2,,,
R135,Boeing RC-135,,1965,wikidata:P606
C82S,Cessna 182S Skylane,,,
C55B,Cessna Citation Bravo,,1977,wikidata:P606
M346,Alenia Aermacchi M-346,,2004,wikidata:P606
AT73,ATR 72-200,,,
LJ40,Learjet 40,,2002,wikidata:P606
EC55,Eurocopter EC155,,1997,wikidata:P606
G115,Grob G115,,1988,wikidata:P729
B722,Boeing 727-200,,1967,wikidata:P606
A148,Antonov An-148,,2004,wikidata:P606
C150,Cessna 150,,1957,wikidata:P606
TOBA,Unknown / TOBA,,,
BN2T,Britten-Norman BN-2 Islander,,1965,wikidata:P606
DA62,Diamond DA62,,2012,wikipedia:lead
JS41,British Aerospace Jetstream 41,,1991,wikidata:P606
SF50,Cirrus Vision SF50,,,
B1,Rockwell B-1B Lancer,,,
RJ85,Avro RJ85,,1982,wikidata:P606
L188,Lockheed L-188 Electra,,1957,wikidata:P606
BE4W,Beechcraft Beechjet 400A,,,
C207,Cessna 207,,1968,wikidata:P606
Z42,Zenair / Z42 (ultralight),,,
F70,Fokker 70,,1993,wikidata:P606
GLF3,Gulfstream III,,1979,wikidata:P606
PRM1,Raytheon Sentinel,,2004,wikidata:P606
FA8X,Dassault Falcon 8X,,2015,wikidata:P606
GA8,GippsAero GA8 Airvan,,,
DRON,Drone / Unmanned,,,
PZ3T,PZL TS-11 Iskra,,1960,wikidata:P606
YK42,Yakovlev Yak-42,,1975,wikidata:P606
C650,Cessna Citation III,,1979,wikidata:P606
P8,Boeing P-8 Poseidon,,2009,wikidata:P606
PC9,Pilatus PC-9,,1984,wikidata:P606
YK40,Yakovlev Yak-40,,1966,wikidata:P606
SNGY,Experimental / SNGY,,,
EXPL,Experimental / Unknown,,,
B703,Boeing 707,,1957,wikidata:P606
DC3,Douglas DC-3,,1935,wikidata:P606
