aircraft_type,rows,model_name,manufacturer,entry_year,source,has_model_name,has_entry_year,share_rows,guess_category,suggested_action
A339,208,Airbus A330-900neo,,2017.0,wikidata:P606,True,True,0.003745453235855512,airliner,OK
DA40,205,Diamond DA40,,1997.0,wikidata:P606,True,True,0.0036914322757229806,general_aviation,OK
B744,204,Boeing 747-400,,1988.0,wikidata:P606,True,True,0.003673425289012137,airliner,OK
A388,200,Airbus A380-800,,,,True,False,0.0036013973421687613,airliner,MED: improve scraping (try other queries / props / sources)
PC21,200,Pilatus PC-21,,2002.0,wikidata:P606,True,True,0.0036013973421687613,unknown,OK
PA44,188,Piper PA-44 Seminole,,,,True,False,0.0033853135016386356,general_aviation,MED: improve scraping (try other queries / props / sources)
GLEX,185,Bombardier Global Express,,1996.0,wikidata:P606,True,True,0.0033312925415061043,airliner,OK
S92,180,Sikorsky S-92,,1998.0,wikidata:P606,True,True,0.0032412576079518854,unknown,OK
DA42,172,Diamond DA42,,2002.0,wikidata:P606,True,True,0.003097201714265135,general_aviation,OK
A306,167,Airbus A300-600,,1994.0,wikidata:P606,True,True,0.003007166780710916,airliner,OK
E75S,166,Embraer 175,,2003.0,wikidata:P606,True,True,0.002989159794000072,unknown,OK
SF34,160,Saab 340,,1983.0,wikidata:P606,True,True,0.002881117873735009,airliner_or_regional,OK
AJ27,158,COMAC ARJ21-700,,,,True,False,0.0028451039003133216,airliner,MED: improve scraping (try other queries / props / sources)
E195,156,Embraer 195,,,,True,False,0.002809089926891634,airliner_or_regional,MED: improve scraping (try other queries / props / sources)
PC24,156,Pilatus PC-24,,,,True,False,0.002809089926891634,unknown,MED: improve scraping (try other queries / props / sources)
SU95,156,Sukhoi Superjet 100,,2008.0,wikidata:P606,True,True,0.002809089926891634,airliner,OK
C25B,152,Cessna Citation CJ3,,,,True,False,0.0027370619800482585,general_aviation,MED: improve scraping (try other queries / props / sources)
GLF4,152,Gulfstream IV,,1985.0,wikidata:P606,True,True,0.0027370619800482585,general_aviation,OK
B762,149,Boeing 767-200,,,,True,False,0.002683041019915727,airliner,MED: improve scraping (try other queries / props / sources)
LJ35,145,Learjet 35,,1973.0,wikidata:P606,True,True,0.002611013073072352,general_aviation,OK
E295,143,Embraer E195-E2,,,,True,False,0.0025749990996506646,airliner,MED: improve scraping (try other queries / props / sources)
DH8C,141,De Havilland Canada Dash 8-300,,,,True,False,0.002538985126228977,airliner,MED: improve scraping (try other queries / props / sources)
DH8A,139,De Havilland Canada Dash 8-100,,,,True,False,0.002502971152807289,airliner,MED: improve scraping (try other queries / props / sources)
SW4,136,Swearingen Metroliner,,1969.0,wikidata:P606,True,True,0.0024489501926747577,unknown,OK
E170,132,Embraer 170,,2002.0,wikidata:P606,True,True,0.0023769222458313827,airliner_or_regional,OK
AS65,129,Eurocopter AS365 Dauphin,,1975.0,wikidata:P606,True,True,0.0023229012856988513,helicopter,OK
EUFI,129,Eurofighter Typhoon,,1994.0,wikidata:P606,True,True,0.0023229012856988513,unknown,OK
