airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
JetSMART,Chili,South America,2014.578947368421,11,38,2,38,28.947368421052634,100.0,0.2894736842105263
JetStream,Hongrie,Europe,1980.888888888889,0,0,2,9,0.0,0.0,0.0
Jetfly Aviation,Luxembourg,Europe,1997.0,0,0,2,40,0.0,0.0,0.0
Jetica,Russie,Europe,1990.857142857143,0,0,3,7,0.0,0.0,0.0
Jetkontor,Allemagne,Europe,1996.0,0,0,1,1,0.0,0.0,0.0
Jetology,Autriche,Europe,1998.0,0,0,2,2,0.0,0.0,0.0
Jetset,Timor oriental,Asia,1991.6666666666667,0,0,3,3,0.0,0.0,0.0
Jetstar,Îles Cocos,Oceania,2011.6470588235295,23,28,3,34,67.64705882352942,82.35294117647058,0.6764705882352942
Jetstream Aviation Congo,République démocratique du Congo,Africa,1995.0,0,0,1,1,0.0,0.0,0.0
Jettime,Îles Féroé,Europe,1994.857142857143,0,0,2,14,0.0,0.0,0.0
Jetways Airlines,Kenya,Africa,1987.0,0,0,2,4,0.0,0.0,0.0
Jhonlin Air Transport,Timor oriental,Asia,2003.0,0,0,3,3,0.0,0.0,0.0
Jiangsu Jet,Taïwan,Asia,1991.0,0,0,1,1,0.0,0.0,0.0
Jiangxi Air,Taïwan,Asia,1997.0,0,0,1,13,0.0,0.0,0.0
Jiangxi Express Aviation,Taïwan,Asia,1991.0,0,0,1,11,0.0,0.0,0.0
Jin Air,Corée du Sud,Asia,1999.967741935484,5,5,4,31,16.129032258064516,16.129032258064516,0.16129032258064516
Jinxiang Airlines,Taïwan,Asia,1991.0,0,0,1,3,0.0,0.0,0.0
Jivair,Suède,Europe,1996.0,0,0,1,1,0.0,0.0,0.0
JoinJet,Îles Féroé,Europe,1995.0,0,0,1,1,0.0,0.0,0.0
Jonair,Suède,Europe,1980.6666666666667,0,0,3,3,0.0,0.0,0.0
Jordan - Air Force,Jordanie,Asia,2001.8333333333333,0,0,2,6,0.0,0.0,0.0
Jordan Aviation,Jordanie,Asia,1981.6,0,0,2,5,0.0,0.0,0.0
Journey Aviation,Porto Rico,North America,1981.8333333333333,0,0,3,6,0.0,0.0,0.0
Juneyao Air,Taïwan,Asia,2005.4444444444443,14,36,3,63,22.22222222222222,57.14285714285714,0.2222222222222222
Jung Sky,Croatie,Europe,2000.0,0,0,1,3,0.0,0.0,0.0
K&R Aviation,Porto Rico,North America,2008.0,0,0,1,2,0.0,0.0,0.0
K-Mile Air,Thaïlande,Asia,1991.5,0,0,2,4,0.0,0.0,0.0
KLM,Pays-Bas,Europe,2000.3223684210527,21,21,13,152,13.815789473684212,13.815789473684212,0.13815789473684212
KM Malta Airlines,Malte,Europe,2014.0,0,8,1,8,0.0,100.0,0.0
KN Helicopters,Îles Féroé,Europe,2001.2222222222222,0,0,3,9,0.0,0.0,0.0
KaiserAir,Porto Rico,North America,1993.0,0,0,2,3,0.0,0.0,0.0
Kalitta Air,Porto Rico,North America,1991.5806451612902,0,0,3,31,0.0,0.0,0.0
Kalitta Charters,Porto Rico,North America,1988.0,0,0,3,26,0.0,0.0,0.0
Kalitta Charters II,Porto Rico,North America,1979.142857142857,0,0,2,7,0.0,0.0,0.0
Kam Air,Afghanistan,Asia,1987.0,0,0,3,11,0.0,0.0,0.0
Kamaka Air,Porto Rico,North America,1975.888888888889,0,0,4,9,0.0,0.0,0.0
Kangala Air Express,Burkina Faso,Africa,1985.0,0,0,1,1,0.0,0.0,0.0
Kansas State University Aviation,Porto Rico,North America,1963.4166666666667,0,0,3,24,0.0,0.0,0.0
Karun Airlines,Iran,Asia,1985.1538461538462,0,0,3,13,0.0,0.0,0.0
Kaz Air Jet,Kazakhstan,Asia,1984.25,0,0,3,4,0.0,0.0,0.0
Keewatin Air,Canada,North America,2007.0,0,0,1,2,0.0,0.0,0.0
Kenmore Air,Porto Rico,North America,1955.421052631579,0,0,4,19,0.0,0.0,0.0
Kenn Borek Air,Canada,North America,1957.3870967741937,0,0,3,31,0.0,0.0,0.0
Kent State University College of Aeronautics,Porto Rico,North America,1955.090909090909,0,0,2,22,0.0,0.0,0.0
Kenya Airways,Kenya,Africa,1999.5,0,0,3,26,0.0,0.0,0.0
Key Lime Air,Porto Rico,North America,1975.9411764705883,0,0,4,17,0.0,0.0,0.0
KhabAvia,Russie,Europe,1966.5,0,0,2,4,0.0,0.0,0.0
Kish Air,Iran,Asia,1983.8181818181818,0,0,4,11,0.0,0.0,0.0
KlasJet,Lituanie,Europe,1992.6923076923076,0,0,4,13,0.0,0.0,0.0
Kolob Canyons Air Services,Porto Rico,North America,1969.0,0,0,1,4,0.0,0.0,0.0
Korea Aerospace University,Corée du Sud,Asia,1957.4736842105262,0,0,2,19,0.0,0.0,0.0
Korea Aviation College,Corée du Sud,Asia,1955.0,0,0,1,7,0.0,0.0,0.0
Korea National University of Transportation,Corée du Sud,Asia,1995.0,0,0,1,5,0.0,0.0,0.0
Korean Air,Corée du Sud,Asia,2005.206611570248,42,56,14,121,34.710743801652896,46.28099173553719,0.34710743801652894
Krasavia,Russie,Europe,1973.2307692307693,0,0,3,13,0.0,0.0,0.0
Kudlik Aviation,Canada,North America,1991.0,0,0,1,3,0.0,0.0,0.0
Kunming Airlines,Taïwan,Asia,1989.516129032258,2,2,3,31,6.451612903225806,6.451612903225806,0.06451612903225806
Kush Aviation,Soudan,Africa,1964.0,0,0,2,2,0.0,0.0,0.0
Kuwait Airways,Koweït,Asia,2009.695652173913,4,13,4,23,17.391304347826086,56.52173913043478,0.17391304347826086
Kyungwoon University,Corée du Sud,Asia,1955.0,0,0,1,2,0.0,0.0,0.0
L.J. Aviation,Porto Rico,North America,1999.0,0,1,3,5,0.0,20.0,0.0
L3Harris Airline Academy,Porto Rico,North America,1979.2028985507247,0,0,4,69,0.0,0.0,0.0
LAS Cargo,Colombie,South America,1967.0,0,0,1,3,0.0,0.0,0.0
LATAM Airlines,Chili,South America,2000.6962025316457,15,51,6,158,9.49367088607595,32.278481012658226,0.0949367088607595
LATAM Cargo,Chili,South America,1986.0,0,0,1,19,0.0,0.0,0.0
LIAT 20,Nigeria,Africa,1995.0,0,0,1,3,0.0,0.0,0.0
LIFT Academy,Porto Rico,North America,1997.5375,0,0,3,80,0.0,0.0,0.0
LOT,Pologne,Europe,2007.02,18,18,5,50,36.0,36.0,0.36
La Compagnie,France,Europe,2016.0,2,2,1,2,100.0,100.0,1.0
La Costena,Nicaragua,North America,1982.0,0,0,1,4,0.0,0.0,0.0
Labcorp,Porto Rico,North America,1991.0,0,0,1,13,0.0,0.0,0.0
Lao Skyway,Laos,Asia,1963.0,0,0,2,2,0.0,0.0,0.0
Laser Airlines,Venezuela,South America,1982.2,0,0,2,5,0.0,0.0,0.0
Latitude Air Ambulance,Canada,North America,1982.0,0,0,1,2,0.0,0.0,0.0
LeTourneau University Aviation,Porto Rico,North America,1981.578947368421,0,0,4,19,0.0,0.0,0.0
Legacy Airways,Porto Rico,North America,1983.0,0,0,1,1,0.0,0.0,0.0
Legend Airlines,Roumanie,Europe,1991.0,0,0,1,3,0.0,0.0,0.0
Legends Airways,Porto Rico,North America,1983.0,0,0,1,7,0.0,0.0,0.0
Level,Espagne,Europe,1987.0,0,0,1,7,0.0,0.0,0.0
Leviate Air Group,Porto Rico,North America,1996.0,0,0,1,2,0.0,0.0,0.0
Libyan Airlines,Libye,Africa,1994.0,0,0,2,2,0.0,0.0,0.0
Libyan Express,Libye,Africa,1986.5,0,0,2,2,0.0,0.0,0.0
Libyan Wings,Libye,Africa,1995.0,0,0,1,4,0.0,0.0,0.0
Liebherr Aerospace,Allemagne,Europe,2007.6666666666667,0,0,2,3,0.0,0.0,0.0
Life Line Aviation,Grèce,Europe,1979.0,0,0,1,2,0.0,0.0,0.0
LifeFlight Australia,Îles Cocos,Oceania,1993.8125,0,0,3,16,0.0,0.0,0.0
Lion Air,Timor oriental,Asia,2000.8783783783783,7,7,3,74,9.45945945945946,9.45945945945946,0.0945945945945946
