airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
Susi Air,Timor oriental,Asia,1981.2777777777776,0,0,2,18,0.0,0.0,0.0
Svensk Luftambulans,Suède,Europe,1999.0,0,0,1,6,0.0,0.0,0.0
Svenskt Ambulansflyg,Suède,Europe,2007.0,0,0,1,6,0.0,0.0,0.0
Sweden - Swedish Maritime Administration,Suède,Europe,2001.0,0,0,1,7,0.0,0.0,0.0
Swift Copters,Suisse,Europe,1985.6666666666667,0,0,7,12,0.0,0.0,0.0
Swiftair,Espagne,Europe,1986.7272727272727,0,0,5,11,0.0,0.0,0.0
Swiss,Suisse,Europe,2008.7166666666667,27,38,6,60,45.0,63.33333333333333,0.45
Swiss Helicopter,Suisse,Europe,1986.206896551724,0,0,3,29,0.0,0.0,0.0
Syrian Air,Syrie,Asia,1979.0,0,0,2,5,0.0,0.0,0.0
T'way Air,Corée du Sud,Asia,1997.7368421052631,4,4,4,38,10.526315789473683,10.526315789473683,0.1052631578947368
TAAG Angola Airlines,Angola,Africa,1992.2,3,3,4,15,20.0,20.0,0.2
TAP Air Portugal,Portugal,Europe,2011.205128205128,42,57,7,78,53.84615384615385,73.07692307692307,0.5384615384615384
TAR Aerolineas,Mexique,North America,1995.0,0,0,1,5,0.0,0.0,0.0
TUI fly,Allemagne,Europe,2004.6442307692307,45,45,3,104,43.26923076923077,43.26923076923077,0.4326923076923077
Taiga Air,Russie,Europe,1962.3333333333333,0,0,2,6,0.0,0.0,0.0
Tarco Air,Gambie,Africa,1990.0,0,0,4,8,0.0,0.0,0.0
Tarom,Roumanie,Europe,1982.0,0,0,2,8,0.0,0.0,0.0
Tassili Airlines,Algérie,Africa,1989.0,0,0,2,15,0.0,0.0,0.0
Team Global Express,Nouvelle-Zélande,Oceania,1983.0,0,0,2,6,0.0,0.0,0.0
Terra Avia,Moldavie,Europe,1987.7142857142856,0,0,3,7,0.0,0.0,0.0
Thai Airways,Thaïlande,Asia,2007.111111111111,0,23,3,45,0.0,51.11111111111111,0.0
Thai Lion Air,Thaïlande,Asia,1997.9310344827584,0,0,2,29,0.0,0.0,0.0
Thrive,Porto Rico,North America,2008.1538461538464,5,5,6,13,38.46153846153847,38.46153846153847,0.3846153846153847
Thrust Flight,Porto Rico,North America,1955.0,0,0,1,6,0.0,0.0,0.0
Tianjin Air Cargo,Taïwan,Asia,1991.0,0,0,2,5,0.0,0.0,0.0
Tianjin Airlines,Taïwan,Asia,2005.4,0,16,4,50,0.0,32.0,0.0
Tibet Airlines,Taïwan,Asia,1998.8536585365853,9,9,3,41,21.951219512195124,21.951219512195124,0.2195121951219512
Tigerair Taiwan,Taïwan,Asia,2014.0,0,7,1,7,0.0,100.0,0.0
Titan Airways,Territoire britannique de l'océan Indien,Asia,1999.8,1,1,3,5,20.0,20.0,0.2
Tradewind Aviation,Porto Rico,North America,1991.0,0,0,1,33,0.0,0.0,0.0
Trans Guyana Airways,Guyana,South America,1982.0,0,0,2,13,0.0,0.0,0.0
Trans Maldivian Airways,Maldives,Asia,1965.0,0,0,1,61,0.0,0.0,0.0
Transavia,France,Europe,2000.7445255474447,10,29,3,137,7.2992700729927,21.16788321167883,0.072992700729927
Transportes AÃ©reos Pegaso,Mexique,North America,2002.8823529411768,0,0,4,17,0.0,0.0,0.0
Travira Air,Timor oriental,Asia,1992.636363636364,0,1,7,11,0.0,9.090909090909092,0.0
